BCW_ID,Genus
BCW_201826,Pantoea
BCW_201827,Pantoea
BCW_201828,unassigned
BCW_201830,Meyerozyma
BCW_201831.1,Bacillus
BCW_201831.2,Lactococcus
BCW_201832,Enterobacter
BCW_201833,unassigned
BCW_201834,Meyerozyma
BCW_201835,unassigned
BCW_201836,Meyerozyma
BCW_201838,unassigned
BCW_201839,Enterobacter
BCW_201840,Meyerozyma
BCW_201842,Curtobacterium
BCW_201844,unassigned
BCW_201845,unassigned
BCW_201847,Enterobacter
BCW_201848,Pantoea
BCW_201849,Enterobacter
BCW_201850,unassigned
BCW_201851,Stenotrophomonas
BCW_201853,unassigned
BCW_201854,unassigned
BCW_201856,Meyerozyma
BCW_201857,Enterobacter
BCW_201858,unassigned
BCW_201859,Pseudomonas
BCW_201860,Meyerozyma
BCW_201861,Lactococcus
BCW_201862,Pseudomonas
BCW_201864,Pantoea
BCW_201865,unassigned
BCW_201866,Enterobacter
BCW_201867,Pantoea
BCW_201868,Pseudomonas
BCW_201870,Agrobacterium
BCW_201871,unassigned
BCW_201872,unassigned
BCW_201873,unassigned
BCW_201874,Enterobacter
BCW_201875,Pseudomonas
BCW_201876,unassigned
BCW_201877,Enterobacter
BCW_201878,Enterobacter
BCW_201879,unassigned
BCW_201880,Enterobacter
BCW_201881,Enterobacter
BCW_201882,Enterobacter
BCW_201883,unassigned
BCW_201884,Enterobacter
BCW_201885,Enterobacter
BCW_201886,unassigned
BCW_201887,unassigned
BCW_201888,unassigned
BCW_201889,Enterobacter
BCW_201890,Raoultella
BCW_201891,unassigned
BCW_201894,Meyerozyma
BCW_201895,Enterobacter
BCW_201896,Curtobacterium
BCW_201897,Pantoea
BCW_201899,Enterobacter
BCW_201900,Raoultella
BCW_201901,unassigned
BCW_201902,unassigned
BCW_201903,Enterobacter
BCW_201909,Pantoea
BCW_201910,unassigned
BCW_201911,Meyerozyma
BCW_201914,Enterobacter
BCW_201915,Meyerozyma
BCW_201916,Meyerozyma
BCW_201917,Pantoea
BCW_201919,Meyerozyma
BCW_201926,Raoultella
BCW_201933,Enterobacter
BCW_201936,Rhodotorula
BCW_201937,unassigned
BCW_201938,Enterobacter
BCW_201939,unassigned
BCW_201945,Enterobacter
BCW_201947,Pseudomonas
BCW_201949,Enterobacter
BCW_201954,unassigned
BCW_201957,Enterobacter
BCW_201972,unassigned
BCW_201975,Enterobacter
BCW_201982,Rahnella
BCW_201990,unassigned
BCW_201995,Pantoea
BCW_201997,unassigned
BCW_202001,unassigned
BCW_202005,Enterobacter
BCW_202006,unassigned
